description,industry,level,size,line_code,value,Unit,footnotes
Total number of businesses,total,0,6–19 employees,,35562,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,20–49 employees,,8796,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,50–99 employees,,2529,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,total,0,100+ employees,,2100,Number of businesses,1 and 2 and 3 and 4 and 6
Total number of businesses,"Agriculture, forestry, & fishing",1,total,,3756,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Agriculture,2,total,,2460,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Commercial fishing,2,total,,57,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Forestry & logging,2,total,,258,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Agriculture, forestry, & fishing support services",2,total,,981,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Mining,1,total,,120,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Manufacturing,1,total,,5421,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Food, beverage, & tobacco",2,total,,1233,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Textile, clothing, footwear, & leather",2,total,,255,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wood & paper product,2,total,,516,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Printing, publishing, & recorded media",2,total,,201,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Petroleum, coal, chemical, & associated product",2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Non-metallic mineral product,2,total,,210,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Metal product,2,total,,1002,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Transport and industrial machinery & equipment,2,total,,948,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other machinery & equipment,2,total,,237,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other manufacturing,2,total,,372,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Electricity, gas, water, & waste services",1,total,,207,Number of businesses,1 and 2 and 3 and 5 and 6
Total number of businesses,Construction,1,total,,7440,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Wholesale trade,1,total,,3228,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Machinery & equipment wholesaling,2,total,,951,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other wholesale trade,2,total,,2274,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Retail trade,1,total,,5070,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Accommodation & food services,1,total,,6774,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Transport, postal, & warehousing",1,total,,1677,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Information media & telecommunications,1,total,,459,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Publishing,2,total,,189,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Motion picture,2,total,,144,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Telecommunications,2,total,,126,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Financial & insurance services,1,total,,696,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Finance,2,total,,213,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Insurance,2,total,,36,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Auxiliary,2,total,,447,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Rental, hiring, & real estate services",1,total,,1044,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,"Professional, scientific, & technical services",1,total,,5190,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Computer systems design,2,total,,990,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other professional scientific,2,total,,4203,Number of businesses,1 and 2 and 3 and 6
